meeting,dir,from,to,raw_count,weight_raw,weight_split,edge_key
#103,in,Seamless Air Alliance NTN Working Group (src),RAN,1,1.0,1.0,in|||Seamless Air Alliance NTN Working Group (src)|||RAN
#103,out,RAN,ETSI TC RT (dst),2,2.0,2.0,out|||RAN|||ETSI TC RT (dst)
#103,out,RAN,ITU-R WP 5D (dst),1,1.0,1.0,out|||RAN|||ITU-R WP 5D (dst)
#103,out,RAN,RAN4 (dst),2,2.0,2.0,out|||RAN|||RAN4 (dst)
#103,out,RAN,SA2 (dst),4,4.0,4.0,out|||RAN|||SA2 (dst)
#104,in,3GPP ITU-R AH (src),RAN,2,2.0,2.0,in|||3GPP ITU-R AH (src)|||RAN
#104,in,CT (src),RAN,1,1.0,1.0,in|||CT (src)|||RAN
#104,in,ETSI ISG THz (src),RAN,1,1.0,1.0,in|||ETSI ISG THz (src)|||RAN
#104,in,ETSI TC RT (src),RAN,1,1.0,1.0,in|||ETSI TC RT (src)|||RAN
#104,in,ETSI TC TCCE (src),RAN,1,1.0,1.0,in|||ETSI TC TCCE (src)|||RAN
#104,in,GCF-CAG (src),RAN,1,1.0,1.0,in|||GCF-CAG (src)|||RAN
#104,in,GSOA (src),RAN,1,1.0,1.0,in|||GSOA (src)|||RAN
#104,in,ITU-T CITS (src),RAN,1,1.0,1.0,in|||ITU-T CITS (src)|||RAN
#104,in,ITU-T JCA-IMT2020 (src),RAN,1,1.0,1.0,in|||ITU-T JCA-IMT2020 (src)|||RAN
#104,in,ITU-T SG11 (src),RAN,1,1.0,1.0,in|||ITU-T SG11 (src)|||RAN
#104,in,ITU-T SG12 (src),RAN,1,1.0,1.0,in|||ITU-T SG12 (src)|||RAN
#104,in,ITU-T SG16 (src),RAN,1,1.0,1.0,in|||ITU-T SG16 (src)|||RAN
#104,in,ITU-T SG20 (src),RAN,1,1.0,1.0,in|||ITU-T SG20 (src)|||RAN
#104,in,RAN3 (src),RAN,1,1.0,1.0,in|||RAN3 (src)|||RAN
#104,in,RAN4 (src),RAN,4,4.0,4.0,in|||RAN4 (src)|||RAN
#104,in,SA2 (src),RAN,1,1.0,1.0,in|||SA2 (src)|||RAN
